0,0
0.1,-0.365856672021522
0.2,-0.730989367377319
0.3,-1.09540116055605
0.4,-1.45909540391855
0.5,-1.82207572181575
0.6,-2.18434600480684
0.7,-2.54591040398135
0.8,-2.9067733253886
0.9,-3.26693942457764
1,-3.62641360125065
1.1,-3.98520099403267
1.2,-4.34330697536025
1.3,-4.70073714649122
1.4,-5.05749733263815
1.5,-5.41359357822735
1.6,-5.7690321422856
1.7,-6.12381949395576
1.8,-6.47796230814407
1.9,-6.8314674612994
2,-7.18434202732669
2.1,-7.53659327363583
2.2,-7.88822865732664
2.3,-8.23925582151179
2.4,-8.58968259177819
2.5,-8.93951697278817
2.6,-9.28876714502105
2.7,-9.63744146165608
2.8,-9.98554844559783
2.9,-10.3330967866442
3,-10.6800953387986
3.1,-11.0265531177258
3.2,-11.3724792983543
3.3,-11.7178832126228
3.4,-12.0627743473745
3.5,-12.4071623423986
3.6,-12.751056988619
3.7,-13.0944682264327
3.8,-13.4374061441973
3.9,-13.7798809768689
4,-14.1219031047918
4.1,-14.4634830526401
4.2,-14.8046314885128
4.3,-15.145359223183
4.4,-15.4856772095036
4.5,-15.8255965419691
4.6,-16.1651284564362
4.7,-16.5042843300041
4.8,-16.8430756810563
4.9,-17.1815141694659
5,-17.5196115969659
5.1,-17.8573799076867
5.2,-18.1948311888635
5.3,-18.5319776717151
5.4,-18.8688317324975
5.5,-19.2054058937352
5.6,-19.5417128256321
5.7,-19.8777653476668
5.8,-20.2135764303739
5.9,-20.5491591973176
6,-20.8815049548545
6.1,-21.2054646792244
6.2,-21.5179646999823
6.3,-21.8161131781545
6.4,-22.097217603165
6.5,-22.3587981412104
6.6,-22.5985974278697
6.7,-22.8145874546923
6.8,-23.0049742102132
6.9,-23.1682007062249
7,-23.3029489574773
7.1,-23.4081413950375
7.2,-23.4829420880873
7.3,-23.5267580332744
7.4,-23.5392406515734
7.5,-23.5217198218581
7.6,-23.4979977039883
7.7,-23.4765069393278
7.8,-23.4572486692224
7.9,-23.4402242770903
8,-23.4254353974558
8.1,-23.4128839252245
8.2,-23.4025720252169
8.3,-23.3945021419761
8.4,-23.3886770098673
8.5,-23.3850996634882
8.6,-23.3837734484091
8.7,-23.3847020322644
8.8,-23.3878894162158
8.9,-23.3933399468129
9,-23.4010583282741
9.1,-23.4110496352147
9.2,-23.4233193258503
9.3,-23.4378732557049
9.4,-23.4547176918555
9.5,-23.4738593277471
9.6,-23.4953052986133
9.7,-23.5190631975413
9.8,-23.5451410922221
9.9,-23.5735475424293
10,-23.6042916182735
10.1,-23.6373829192822
10.2,-23.6728315943577
10.3,-23.7106483626717
10.4,-23.7508445355576
10.5,-23.7934320394658
10.6,-23.8384234400534
10.7,-23.8858319674851
10.8,-23.9356715430264
10.9,-23.9879568070178
11,-24.0427031483259
11.1,-24.0999267353744
11.2,-24.159644548865
11.3,-24.2218744163103
11.4,-24.2866350485081
11.5,-24.353946078098
11.6,-24.4238281003552
11.7,-24.4963027163857
11.8,-24.5713925789067
11.9,-24.6491214408065
12,-24.7295142067011
12.1,-24.8125969877217
12.2,-24.8983971597873
12.3,-24.986943425646
12.4,-25.0782658809893
12.5,-25.1723960849781
12.6,-25.2693671355494
12.7,-25.3692137499108
12.8,-25.471972350672
12.9,-25.5776811581064
13,-25.6863802890896
13.1,-25.7981118633211
13.2,-25.9129201174956
13.3,-26.0308515281716
13.4,-26.1519549441623
13.5,-26.2762817293707
13.6,-26.4038859170986
13.7,-26.534824376979
13.8,-26.6691569958206
13.9,-26.8069468738125
14,-26.9482605377169
14.1,-27.0931681728851
14.2,-27.2417438761723
14.3,-27.3940659321024
14.4,-27.5502171149499
14.5,-27.7102850197794
14.6,-27.8743624259117
14.7,-28.0425476967849
14.8,-28.2149452207709
14.9,-28.3916658981945
15,-28.5728276806164
15.1,-28.7585561694051
15.2,-28.9489852817661
15.3,-29.1442579937592
15.4,-29.3445271714707
15.5,-29.5499565034714
15.6,-29.7607215500677
15.7,-29.9770109277404
15.8,-30.1990276506883
15.9,-30.4253040013724
16,-30.6272903527314
16.1,-30.7926684778406
16.2,-30.9190044073472
16.3,-31.0041518425226
16.4,-31.0463180094175
16.5,-31.0441328048093
16.6,-30.9967171985385
16.7,-30.9037460604151
16.8,-30.7655002390745
16.9,-30.5829029869662
17,-30.3575367553943
17.1,-30.09163789989
17.2,-29.7880687311838
17.3,-29.4502683220596
17.4,-29.0821852180892
17.5,-28.6926208983285
17.6,-28.3034920360411
17.7,-27.9170821804068
17.8,-27.5332978087755
17.9,-27.1520505319133
18,-26.7732567211644
18.1,-26.3968371701431
18.2,-26.0227167871289
18.3,-25.6508243148284
18.4,-25.2810920745875
18.5,-24.9134557324982
18.6,-24.5478540851551
18.7,-24.1842288630818
18.8,-23.8225245500817
18.9,-23.4626882169647
19,-23.1046693682793
19.1,-22.7484198008292
19.2,-22.3938934728878
19.3,-22.0410463831396
19.4,-21.6898364584814
19.5,-21.340223449904
19.6,-20.9921688357565
19.7,-20.6456357317655
19.8,-20.3005888072411
19.9,-19.9569942069611
20,-19.6148194782695
20.1,-19.2740335029727
20.2,-18.9346064336531
20.3,-18.5965096340561
20.4,-18.2597156232386
20.5,-17.9241980231912
20.6,-17.5899315096773
20.7,-17.256891766049
20.8,-16.9250554398252
20.9,-16.5944001018306
21,-16.2649042077165
21.1,-15.9365470616943
21.2,-15.6093087823282
21.3,-15.2831702702483
21.4,-14.9581131776514
21.5,-14.6341198794716
21.6,-14.3111734461095
21.7,-13.989257617619
21.8,-13.6683567792558
21.9,-13.3484559383019
